date,prefecture,average
2018/10/27,nagoya,18.1
2018/10/27,kobe,18.6
2018/10/27,kushiro,12.6
2018/10/28,nagoya,15.3
2018/10/28,kobe,16.8
2018/10/28,kushiro,12.6
2018/10/29,nagoya,15.4
2018/10/29,kobe,17.5
2018/10/29,kushiro,12.5
2018/10/30,nagoya,15.1
2018/10/30,kobe,17
2018/10/30,kushiro,10
2018/10/31,nagoya,13.3
2018/10/31,kobe,14.7
2018/10/31,kushiro,7.9
2018/11/1,nagoya,13
2018/11/1,kobe,14.7
2018/11/1,kushiro,7.4
2018/11/2,nagoya,14.3
2018/11/2,kobe,14.6
2018/11/2,kushiro,6.8
2018/11/3,nagoya,15
2018/11/3,kobe,15.7
2018/11/3,kushiro,7.1
2018/11/4,nagoya,14.6
2018/11/4,kobe,17.1
2018/11/4,kushiro,9.1
2018/11/5,nagoya,17.3
2018/11/5,kobe,18
2018/11/5,kushiro,9.6
2018/11/6,nagoya,17
2018/11/6,kobe,19.2
2018/11/6,kushiro,10.9
2018/11/7,nagoya,17.1
2018/11/7,kobe,18.2
2018/11/7,kushiro,8.5
2018/11/8,nagoya,17.7
2018/11/8,kobe,18.8
2018/11/8,kushiro,8.1
2018/11/9,nagoya,17
2018/11/9,kobe,20.3
2018/11/9,kushiro,9.8
2018/11/10,nagoya,17.1
2018/11/10,kobe,18.2
2018/11/10,kushiro,12.7
2018/11/11,nagoya,14.6
2018/11/11,kobe,16.1
2018/11/11,kushiro,10.4
2018/11/12,nagoya,15.6
2018/11/12,kobe,16.2
2018/11/12,kushiro,7.6
2018/11/13,nagoya,15.6
2018/11/13,kobe,15.7
2018/11/13,kushiro,6.9
2018/11/14,nagoya,14.1
2018/11/14,kobe,13.8
2018/11/14,kushiro,5.7
2018/11/15,nagoya,13.2
2018/11/15,kobe,14.2
2018/11/15,kushiro,5.6
2018/11/16,nagoya,12.6
2018/11/16,kobe,14.7
2018/11/16,kushiro,5.5
2018/11/17,nagoya,14.8
2018/11/17,kobe,15.8
2018/11/17,kushiro,5.5
2018/11/18,nagoya,13.6
2018/11/18,kobe,15.4
2018/11/18,kushiro,2.9
2018/11/19,nagoya,13.7
2018/11/19,kobe,14.3
2018/11/19,kushiro,3.2
2018/11/20,nagoya,12.2
2018/11/20,kobe,13.1
2018/11/20,kushiro,3.7
2018/11/21,nagoya,11.4
2018/11/21,kobe,12.3
2018/11/21,kushiro,-0.8
2018/11/22,nagoya,12.2
2018/11/22,kobe,12.1
2018/11/22,kushiro,-0.7
2018/11/23,nagoya,9.2
2018/11/23,kobe,9.6
2018/11/23,kushiro,-0.4
2018/11/24,nagoya,8.8
2018/11/24,kobe,9.8
2018/11/24,kushiro,-1.8
2018/11/25,nagoya,9.8
2018/11/25,kobe,12.1
2018/11/25,kushiro,3.3
2018/11/26,nagoya,11.9
2018/11/26,kobe,13.2
2018/11/26,kushiro,5.7
2018/11/27,nagoya,14
2018/11/27,kobe,15
2018/11/27,kushiro,7.2
2018/11/28,nagoya,13.8
2018/11/28,kobe,14.8
2018/11/28,kushiro,5.8
2018/11/29,nagoya,12.6
2018/11/29,kobe,13.8
2018/11/29,kushiro,2
2018/11/30,nagoya,10.6
2018/11/30,kobe,13.1
2018/11/30,kushiro,-1.7
2018/12/1,nagoya,10.9
2018/12/1,kobe,14
2018/12/1,kushiro,-2.9
2018/12/2,nagoya,10.8
2018/12/2,kobe,13.6
2018/12/2,kushiro,0.7
2018/12/3,nagoya,12.8
2018/12/3,kobe,16.1
2018/12/3,kushiro,0.9
2018/12/4,nagoya,15.6
2018/12/4,kobe,19.4
2018/12/4,kushiro,2.9
2018/12/5,nagoya,15.7
2018/12/5,kobe,15.5
2018/12/5,kushiro,4.6
2018/12/6,nagoya,12.3
2018/12/6,kobe,13.2
2018/12/6,kushiro,0.2
2018/12/7,nagoya,11.9
2018/12/7,kobe,11.7
2018/12/7,kushiro,-1.5
2018/12/8,nagoya,6.9
2018/12/8,kobe,6.7
2018/12/8,kushiro,-4.6
2018/12/9,nagoya,5.3
2018/12/9,kobe,5.6
2018/12/9,kushiro,-7.4
2018/12/10,nagoya,5.3
2018/12/10,kobe,6.6
2018/12/10,kushiro,-4.2
2018/12/11,nagoya,6
2018/12/11,kobe,7.9
2018/12/11,kushiro,-5.5
2018/12/12,nagoya,9.3
2018/12/12,kobe,9.7
2018/12/12,kushiro,-5
2018/12/13,nagoya,7.7
2018/12/13,kobe,8.1
2018/12/13,kushiro,-3.2
2018/12/14,nagoya,6.4
2018/12/14,kobe,6.8
2018/12/14,kushiro,-3.4
2018/12/15,nagoya,5.2
2018/12/15,kobe,6.5
2018/12/15,kushiro,-4.4
2018/12/16,nagoya,5.6
2018/12/16,kobe,7.5
2018/12/16,kushiro,-2.1
2018/12/17,nagoya,8.6
2018/12/17,kobe,10.1
2018/12/17,kushiro,4.4
2018/12/18,nagoya,7.5
2018/12/18,kobe,8.5
2018/12/18,kushiro,-0.7
2018/12/19,nagoya,7.7
2018/12/19,kobe,10.1
2018/12/19,kushiro,1.8
2018/12/20,nagoya,8.7
2018/12/20,kobe,11.3
2018/12/20,kushiro,-1.3
2018/12/21,nagoya,9
2018/12/21,kobe,11.5
2018/12/21,kushiro,-4.2
2018/12/22,nagoya,10.3
2018/12/22,kobe,12.3
2018/12/22,kushiro,-1
2018/12/23,nagoya,10.8
2018/12/23,kobe,12.4
2018/12/23,kushiro,0.7
2018/12/24,nagoya,8
2018/12/24,kobe,9
2018/12/24,kushiro,-1
2018/12/25,nagoya,5.8
2018/12/25,kobe,7.6
2018/12/25,kushiro,-1.3
2018/12/26,nagoya,7.4
2018/12/26,kobe,9.5
2018/12/26,kushiro,-0.7
2018/12/27,nagoya,7.6
2018/12/27,kobe,8.8
2018/12/27,kushiro,-5.4
2018/12/28,nagoya,2.9
2018/12/28,kobe,3.5
2018/12/28,kushiro,-3.8
2018/12/29,nagoya,1.5
2018/12/29,kobe,3.7
2018/12/29,kushiro,-3
2018/12/30,nagoya,2.6
2018/12/30,kobe,4.2
2018/12/30,kushiro,-0.6
2018/12/31,nagoya,3.6
2018/12/31,kobe,5
2018/12/31,kushiro,-2
2019/1/1,nagoya,4.4
2019/1/1,kobe,6.1
2019/1/1,kushiro,-4
