Time,3H,3V,4H,4V,Section
0.00191406997683585,-0.132273064191617,-0.0147741509760956,0.259594465851272,-0.148865534552684,1
0.00386720260626018,-0.0117613061876247,0.197738575996016,-0.158609892465753,0.0480030201988072,1
0.00582033523568451,0.182305378762475,-0.165479009252988,0.00171512818003914,-0.0512268451789264,1
0.00777346786510885,-0.132803684311377,-0.294162955458167,0.0541625287671233,0.204958564652087,1
0.00972660049453318,-0.0740939225548902,0.256566216513944,0.32182120851272,-0.195222200347913,1
0.0116797331239575,0.0558714122954092,0.0905899649701195,-0.245721354598826,0.0457195004373757,1
0.0136328657533818,0.19719323752495,0.0181722411752988,0.00306606418786693,-0.111339288260437,1
0.0155859983828062,-0.0248987284630738,-0.2949338087749,-0.0709664245596869,0.367039882186879,1
0.0175391310122305,-0.109791848542914,0.105563942390438,0.186584145499022,-0.155873996799205,1
0.0194922636416549,-0.000843949700598798,0.0643688127788845,-0.198588034148728,0.0312410134393638,1
0.0214453962710792,0.0994920455888223,0.0851757826195219,-0.0872314549902153,-0.144480690755467,1
0.0233985289005035,-0.0660065400399202,-0.156805392011952,0.113227124755382,0.260364284821074,1
0.0253516615299279,-0.14485547001996,-0.232518968964143,0.051305239334638,-0.0257923218787276,1
0.0273047941593522,0.00990873157684631,-0.0368254116035857,0.0139153954011742,0.267700699373757,1
0.0292579267887765,0.0454175860279441,0.040690869561753,-0.156326451956947,-0.0988831738170974,1
0.0312110594182009,-0.0118161979241517,-0.10377432564741,0.174007289921722,0.03846811055666,1
0.0331641920476252,-0.137981804790419,-0.132162364721116,-0.0212448063600783,0.104198255178926,1
0.0351173246770495,0.0819815816367265,-0.0530011918326693,0.0547244225048924,-0.00311502722664016,1
0.0370704573064739,0.0255894709780439,0.212366579880478,-0.222474495596869,-0.116361817097415,1
0.0390235899358982,0.0639709929740519,0.0637921902191235,0.138034135518591,-0.181891546421471,1
0.0409767225653225,-0.180230144670659,0.0459715182669323,0.113274945499022,-0.228290724552684,1
0.0429298551947469,-0.0310953956087824,-0.134456715537849,-0.0426565443248532,0.471492691699801,1
0.0448829878241712,0.200986866427146,-0.205751542768924,-0.112002600195695,-0.0705335189065606,1
0.0468361204535955,0.103889483592814,0.179450536284861,-0.0330804404109589,0.00199859947316103,1
0.0487892530830199,-0.118861183233533,0.117861177191235,0.32781075665362,-0.307041790367793,1
0.0507423857124442,-0.0435619188822355,-0.168902326344622,-0.09045935518591,0.135845652723658,1
