武器,時間,総人数,班人数,アシスト数,ノックダウン数,乗り物距離,徒歩距離,ダメージ,殺害数,距離
Micro UZI,215,91,1,0,0,0,170.954788,0,0,13.80734069
Grenade,215,47,2,0,1,0,4047.42554,156,2,0
AKM,1359,91,1,0,0,0,0,0,0,21.29450739
Punch,139,47,2,0,0,5002.4917,2084.32373,4,0,8101.702841
SKS,1083,47,2,0,0,2635.136,1066.9884,38,0,216.0930546
Hit by Car,800,91,1,0,0,0,0,0,0,5.033413355
Punch,134,47,2,1,1,0,3842.8562,457,3,8100.007837
P1911,164,47,2,0,2,0,3525.53369,325,4,4.788126669
AKM,1080,91,1,0,0,0,723.1023,100,1,4.805984603
Bluezone,879,47,2,0,0,0,68.26272,0,0,0
Micro UZI,338,91,1,0,0,0,66.54559,0,0,2.125098821
Bluezone,1646,47,2,0,1,0,159.24678,141,1,0
