datetime,stockprice,price
2018/10/30,lowprice,6437
2018/10/30,tradevolum,19326200
2018/10/31,openingprice,6501
2018/10/31,closingprice,6615
2018/10/31,highprice,6623
2018/10/31,lowprice,6473
2018/10/31,tradevolum,7902000
2018/10/4,openingprice,7040
2018/10/4,closingprice,7005
2018/10/4,highprice,7115
2018/10/4,lowprice,6991
2018/10/4,tradevolum,8502800
2018/10/5,openingprice,6950
2018/10/5,closingprice,7002
2018/10/5,highprice,7082
2018/10/5,lowprice,6935
2018/10/5,tradevolum,6982500
2018/10/9,openingprice,6884
2018/10/9,closingprice,6786
2018/10/9,highprice,6888
2018/10/9,lowprice,6758
2018/10/9,tradevolum,10221300
2018/11/1,openingprice,6628
2018/11/1,closingprice,6576
2018/11/1,highprice,6640
2018/11/1,lowprice,6549
2018/11/1,tradevolum,5884900
2018/11/12,openingprice,6679
2018/11/12,closingprice,6709
2018/11/12,highprice,6731
2018/11/12,lowprice,6661
2018/11/12,tradevolum,4042900
2018/11/13,openingprice,6599
2018/11/13,closingprice,6545
2018/11/13,highprice,6599
2018/11/13,lowprice,6498
2018/11/13,tradevolum,6170800
2018/11/14,openingprice,6589
2018/11/14,closingprice,6667
2018/11/14,highprice,6677
2018/11/14,lowprice,6559
2018/11/14,tradevolum,6051700
2018/11/15,openingprice,6666
2018/11/15,closingprice,6640
2018/11/15,highprice,6666
2018/11/15,lowprice,6608
2018/11/15,tradevolum,4194900
2018/11/16,openingprice,6642
2018/11/16,closingprice,6591
2018/11/16,highprice,6653
2018/11/16,lowprice,6561
2018/11/16,tradevolum,4153700
2018/11/19,openingprice,6591
2018/11/19,closingprice,6612
2018/11/19,highprice,6638
2018/11/19,lowprice,6541
2018/11/19,tradevolum,6924800
2018/11/2,openingprice,6585
2018/11/2,closingprice,6557
2018/11/2,highprice,6596
2018/11/2,lowprice,6428
2018/11/2,tradevolum,9896600
2018/11/20,openingprice,6612
2018/11/20,closingprice,6717
2018/11/20,highprice,6762
2018/11/20,lowprice,6611
2018/11/20,tradevolum,8667600
2018/11/21,openingprice,6632
2018/11/21,closingprice,6715
2018/11/21,highprice,6736
2018/11/21,lowprice,6595
2018/11/21,tradevolum,8050100
2018/11/22,openingprice,6721
2018/11/22,closingprice,6821
2018/11/22,highprice,6825
2018/11/22,lowprice,6720
2018/11/22,tradevolum,7695000
2018/11/26,openingprice,6818
2018/11/26,closingprice,6805
2018/11/26,highprice,6830
2018/11/26,lowprice,6770
2018/11/26,tradevolum,6202500
2018/11/27,openingprice,6835
2018/11/27,closingprice,6927
2018/11/27,highprice,6946
2018/11/27,lowprice,6830
2018/11/27,tradevolum,7430500
2018/11/28,openingprice,6928
2018/11/28,closingprice,6866
2018/11/28,highprice,6939
2018/11/28,lowprice,6795
2018/11/28,tradevolum,7896800
2018/11/29,openingprice,6870
2018/11/29,closingprice,6894
2018/11/29,highprice,6932
2018/11/29,lowprice,6859
2018/11/29,tradevolum,7205800
2018/11/30,openingprice,6939
2018/11/30,closingprice,6803
2018/11/30,highprice,7034
2018/11/30,lowprice,6800
2018/11/30,tradevolum,18787000
2018/11/5,openingprice,6510
2018/11/5,closingprice,6494
2018/11/5,highprice,6529
2018/11/5,lowprice,6446
2018/11/5,tradevolum,5799600
2018/11/6,openingprice,6532
2018/11/6,closingprice,6630
2018/11/6,highprice,6728
2018/11/6,lowprice,6514
2018/11/6,tradevolum,9475200
2018/11/7,openingprice,6684
2018/11/7,closingprice,6639
2018/11/7,highprice,6797
2018/11/7,lowprice,6600
2018/11/7,tradevolum,10601900
2018/11/8,openingprice,6772
2018/11/8,closingprice,6686
2018/11/8,highprice,6775
2018/11/8,lowprice,6663
2018/11/8,tradevolum,6508700
2018/11/9,openingprice,6697
2018/11/9,closingprice,6696
2018/11/9,highprice,6706
2018/11/9,lowprice,6653
