Time,3H,3V,4H,4V,3H,3V,4H,4V,3H,3V,4H,4V,3H,3V,4H,4V,3H,3V,4H,4V
0.00191406997683585,-0.132273064191617,-0.0147741509760956,0.259594465851272,-0.148865534552684,-0.0980084224351297,-0.0808126083466136,-0.0391955180039139,0.182718539741551,-0.0563577925748503,0.00560793908366534,-0.0391716076320939,0.338283323489066,0.234739185309381,0.0760165884860558,0.114321024266145,-0.0182433456461233,-0.177497756007984,-0.184204068167331,-0.0326978744618395,0.0315082338369781
0.00386720260626018,-0.0117613061876247,0.197738575996016,-0.158609892465753,0.0480030201988072,-0.0717213797205589,0.101126983535857,-0.0422560455968689,-0.324386823449304,-0.0164271037924152,-0.255444267998008,0.203978940998043,0.111874768419483,0.213788839201597,0.0643748824900398,-0.193979309980431,-0.0638955213021869,-0.225180377804391,-0.0156117711155378,-0.0967657157534247,-0.173692738767396
0.00582033523568451,0.182305378762475,-0.165479009252988,0.00171512818003914,-0.0512268451789264,0.0966986661077844,-0.402628693804781,-0.00710779902152642,0.228425374115308,0.0309688611576846,0.0712397258067729,0.0173106681996086,-0.070327030417495,0.26418555241517,0.296207500069721,0.302238613992172,-0.0981665372962227,-0.198789650698603,-0.0223248716533865,0.0216145351272016,-0.192580362326044
0.00777346786510885,-0.132803684311377,-0.294162955458167,0.0541625287671233,0.204958564652087,-0.0687206314570858,0.0332676128187251,0.157012993150685,-0.325832242872763,-0.072227603512974,0.144519348585657,0.0025340584148728,-0.285220815626243,0.170235295808383,0.111742908346614,-0.128082325244618,0.104386524095427,-0.0801381126546906,0.0273860627091633,-0.101942311252446,-0.2033116905666
0.00972660049453318,-0.0740939225548902,0.256566216513944,0.32182120851272,-0.195222200347913,-0.241477124471058,-0.0180760738446215,-0.00561340078277887,0.0854563882007952,-0.0963616703393213,0.00134700185258964,-0.0504453479452055,-0.00427500667992048,0.267527849261477,0.169204863854582,0.2118334981409,0.0967282304274354,0.0324387398802395,-0.0917927158266932,0.0415617628180039,-0.0650251348011928
0.0116797331239575,0.0558714122954092,0.0905899649701195,-0.245721354598826,0.0457195004373757,-0.0472823588023952,0.393486760756972,-0.0188477915851272,0.101532124393638,-0.0313027643912176,0.0669666491533865,-0.104010558414873,0.206561887037773,0.0381047869061876,0.0145304144820717,-0.218875984637965,0.439244048260437,0.0556030526946108,-0.106092955308765,0.020711918590998,-0.173461957514911
0.0136328657533818,0.19719323752495,0.0181722411752988,0.00306606418786693,-0.111339288260437,0.0892150926946108,-0.252124135996016,0.0648205770058708,-0.0105607592147117,0.09438101500998,-0.316584468466135,-0.0368821895303327,0.0204307337176938,0.106079053972056,0.0539167701693227,0.227172001663405,0.0330690438866799,-0.0814860097405189,0.0265241637250996,0.0681321635029354,-0.177858947693837
0.0155859983828062,-0.0248987284630738,-0.2949338087749,-0.0709664245596869,0.367039882186879,-0.0161099515369261,-0.514796955956175,-0.242708647749511,0.0719496117395626,-0.0036312300998004,0.268766335936255,0.0438272705479452,0.137102803230616,-0.0877802621956088,0.339393494940239,0.0171074300391389,0.179226455,0.243021738443114,-0.00440101461155379,0.0462780836594912,0.00798676565606362
0.0175391310122305,-0.109791848542914,0.105563942390438,0.186584145499022,-0.155873996799205,-0.0919886286626746,0.275837549432271,0.0485973897260274,-0.171239169662028,-0.047819078003992,0.383544573884462,0.0681740066536204,-0.410134205129225,-0.00266757516966068,0.00494027085657371,0.0586935442270059,-0.16854874611332,0.276347121596806,-0.0297541981075697,0.0944275949119374,-0.143958396341948
0.0194922636416549,-0.000843949700598798,0.0643688127788845,-0.198588034148728,0.0312410134393638,0.0794992553293413,-0.337148649860558,-0.158902794520548,0.473788357842942,-0.128857578363273,-0.0458571418027888,0.00287478121330724,-0.22449498026839,-0.197124601357285,0.329014288864542,-0.0761191096868885,0.0244086737276342,0.107713607904192,0.0977886424003984,0.268327729158513,0.0273177321471173
